id,isResult,h_id,h_title,h_short_title,a_id,a_title,a_short_title,goals_h,goals_a,xG_h,xG_a,datetime,forecast_w,forecast_d,forecast_l
16564,True,81,West Ham,WHU,74,Southampton,SOU,2,3,1.53745,1.35643,2021-12-26 15:00:00,0.4011,0.312,0.2869
16556,True,71,Aston Villa,AVL,80,Chelsea,CHE,1,3,0.474029,2.8285,2021-12-26 17:30:00,0.0139,0.0557,0.9304
16557,True,220,Brighton,BRI,244,Brentford,BRE,2,0,0.943363,1.10342,2021-12-26 20:00:00,0.2916,0.3151,0.3933
16561,True,86,Newcastle United,NEW,89,Manchester United,MUN,1,1,1.26586,1.75587,2021-12-27 20:00:00,0.232,0.2848,0.4832
16569,True,90,Watford,WAT,81,West Ham,WHU,1,4,1.0143,2.84084,2021-12-28 15:00:00,0.0603,0.121,0.8187
16570,True,78,Crystal Palace,CRY,79,Norwich,NOR,3,0,2.38978,0.594134,2021-12-28 15:00:00,0.8296,0.1241,0.0463
16575,True,74,Southampton,SOU,82,Tottenham,TOT,1,1,0.353043,2.80917,2021-12-28 15:00:00,0.0137,0.062,0.9243
16573,True,75,Leicester,LEI,87,Liverpool,LIV,1,0,0.615892,2.72682,2021-12-28 20:00:00,0.0217,0.0898,0.8885
16568,True,80,Chelsea,CHE,220,Brighton,BRI,1,1,0.763458,0.78663,2021-12-29 19:30:00,0.3109,0.3696,0.3195
16567,True,244,Brentford,BRE,88,Manchester City,MCI,0,1,0.238829,1.01763,2021-12-29 20:15:00,0.0672,0.2944,0.6384
16574,True,89,Manchester United,MUN,92,Burnley,BUR,3,1,1.80776,0.871738,2021-12-30 20:15:00,0.6178,0.2285,0.1537
16576,True,83,Arsenal,ARS,88,Manchester City,MCI,1,2,0.836949,1.94623,2022-01-01 12:30:00,0.0951,0.2126,0.6923
16585,True,90,Watford,WAT,82,Tottenham,TOT,0,1,0.303514,1.93752,2022-01-01 15:00:00,0.0346,0.1376,0.8278
16579,True,78,Crystal Palace,CRY,81,West Ham,WHU,2,3,2.69204,2.23146,2022-01-01 17:30:00,0.4861,0.2291,0.2848
16577,True,244,Brentford,BRE,71,Aston Villa,AVL,2,1,0.501329,1.13821,2022-01-02 14:00:00,0.1502,0.318,0.5318
16580,True,72,Everton,EVE,220,Brighton,BRI,2,3,1.82698,1.48397,2022-01-02 14:00:00,0.4435,0.2906,0.2659
16581,True,245,Leeds,LED,92,Burnley,BUR,3,1,2.04186,0.960493,2022-01-02 14:00:00,0.642,0.2279,0.1301
16578,True,80,Chelsea,CHE,87,Liverpool,LIV,2,2,1.389,1.78897,2022-01-02 16:30:00,0.26,0.2659,0.4741
16583,True,89,Manchester United,MUN,229,Wolverhampton Wanderers,WOL,0,1,0.768752,0.840925,2022-01-03 17:30:00,0.2979,0.3534,0.3487
