Dátum,Meccs-Id,Hazai-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-XG,Ellenfél-XG,Hazai-PR,Ellenfél-PR,PR-diff,Hazai-xgPR,Ellenfél-xgPR,Hazai-Mixed-PR,Ellenfél-Mixed-PR,H%,D%,A%,ForeCast-W,ForeCast-D,ForeCast-A
2014-11-23 16:30:00,5373,VfB Stuttgart,Augsburg,0,1,0.382848,2.06226,8.8857,10.6886,-1.8029,9.7243,10.1949,11.0471,10.4320,,,,0.0324,0.1245,0.8431
2014-11-28 19:30:00,5374,Freiburg,VfB Stuttgart,1,4,1.49535,3.36392,8.9651,10.0788,-1.1137,9.7572,10.6346,9.6730,11.7731,,,,0.0765,0.1288,0.7947
2014-11-29 14:30:00,5375,Augsburg,Hamburger SV,3,1,2.79213,1.12309,10.8992,9.8205,1.0787,10.3228,10.8490,10.2254,11.2922,,,,0.8144,0.1342,0.0514
2014-11-29 14:30:00,5376,Schalke 04,Mainz 05,4,1,1.55889,2.04969,10.7867,9.1010,1.6857,9.0274,8.8504,11.7963,9.8516,,,,0.2395,0.2574,0.5031
2014-11-29 14:30:00,5377,Bayer Leverkusen,FC Cologne,5,1,2.37812,0.950144,10.9160,8.7036,2.2124,11.1530,8.6078,8.6788,10.0492,,,,0.743,0.1833,0.0737
2014-11-29 14:30:00,5378,Hertha Berlin,Bayern Munich,0,1,0.25622,1.94047,9.9941,12.1018,-2.1077,10.1715,10.1669,11.3170,6.7867,,,,0.0276,0.1467,0.8257
2014-11-29 14:30:00,5379,Werder Bremen,Paderborn,4,0,4.47976,0.839366,10.2161,8.7669,1.4492,11.8187,8.3113,10.6135,10.2223,,,,0.9642,0.0275,0.0083
2014-11-29 17:30:00,5380,Hoffenheim,Hannover 96,4,3,1.99562,1.81072,9.5422,9.2552,0.2870,9.4713,9.1919,9.6130,10.5687,,,,0.4167,0.2545,0.3288
2014-11-30 14:30:00,5381,Wolfsburg,Borussia M.Gladbach,1,0,1.69265,0.606945,10.8685,9.9390,0.9295,9.6563,9.1563,8.8309,9.2218,,,,0.6741,0.2237,0.1022
2014-11-30 16:30:00,5382,Eintracht Frankfurt,Borussia Dortmund,2,0,2.21905,0.769829,10.3109,9.7344,0.5765,10.2556,12.5980,10.8660,8.6205,,,,0.7505,0.1681,0.0814
2014-12-05 19:30:00,5312,Borussia Dortmund,Hoffenheim,1,0,1.58062,0.202706,9.8113,9.4653,0.3460,12.7694,9.2999,8.3530,9.8805,,,,0.7806,0.1847,0.0347
2014-12-06 14:30:00,5313,Borussia M.Gladbach,Hertha Berlin,3,2,1.82786,1.42138,10.0778,9.8553,0.2225,9.1467,10.1811,9.2590,11.2798,,,,0.4659,0.313,0.2211
